update,train_mse,val_mse,lr,grad_norm,param_count,elapsed_s,nan_inf
0,0.39959773421287537,0.3383612334728241,1e-08,2.2949395179748535,727695,2.3783934116363525,False
100,0.3298879861831665,0.3186301290988922,1.01e-06,1.7821471691131592,727695,3.373173713684082,False
200,0.32900816202163696,0.34092003107070923,2.0100000000000002e-06,1.8228904008865356,727695,4.373149394989014,False
300,0.30866438150405884,0.31820791959762573,3.01e-06,1.439892053604126,727695,5.375569820404053,False
400,0.29353439807891846,0.28805971145629883,4.01e-06,1.1002018451690674,727695,6.37675666809082,False
500,0.2490687221288681,0.2563832104206085,5.01e-06,0.5540496110916138,727695,7.349395275115967,False
600,0.21401093900203705,0.21356818079948425,6.01e-06,0.4961957633495331,727695,8.269922256469727,False
700,0.20276793837547302,0.20251548290252686,7.01e-06,0.34052902460098267,727695,9.191288471221924,False
800,0.19952437281608582,0.18539556860923767,8.010000000000001e-06,0.38401028513908386,727695,10.104518413543701,False
900,0.1767885982990265,0.18927501142024994,9.01e-06,0.2374584972858429,727695,11.024615287780762,False
1000,0.16278550028800964,0.17415203154087067,1.001e-05,0.21299873292446136,727695,11.94728422164917,False
1100,0.17013686895370483,0.1557556539773941,1.1010000000000001e-05,0.34265947341918945,727695,12.868613004684448,False
1200,0.15163294970989227,0.14560404419898987,1.201e-05,0.2564745545387268,727695,13.791049480438232,False
1300,0.1501045525074005,0.14066877961158752,1.301e-05,0.21891210973262787,727695,14.713393926620483,False
1400,0.136841282248497,0.1403595358133316,1.4010000000000001e-05,0.3090869188308716,727695,15.636043071746826,False
1500,0.14892488718032837,0.1332329660654068,1.5010000000000002e-05,0.3230670392513275,727695,16.560171127319336,False
1600,0.1362684667110443,0.13433466851711273,1.601e-05,0.2617897093296051,727695,17.473902225494385,False
1700,0.13524073362350464,0.13081501424312592,1.701e-05,0.3628173768520355,727695,18.380638360977173,False
1800,0.12593264877796173,0.12423019856214523,1.8010000000000002e-05,0.2835351824760437,727695,19.299027681350708,False
1900,0.1267046183347702,0.12987130880355835,1.901e-05,0.22619348764419556,727695,20.214855909347534,False
2000,0.12079024314880371,0.11974561959505081,2.001e-05,0.1921740174293518,727695,21.128711700439453,False
2100,0.13630883395671844,0.11961140483617783,2.101e-05,0.30098679661750793,727695,22.0513699054718,False
2200,0.1057741791009903,0.12230564653873444,2.201e-05,0.368335098028183,727695,22.97071671485901,False
2300,0.11931162327528,0.10987956821918488,2.301e-05,0.2550535798072815,727695,23.886345148086548,False
2400,0.11875694990158081,0.11453910171985626,2.4010000000000002e-05,0.3250921964645386,727695,24.806944847106934,False
2500,0.117852583527565,0.11974451690912247,2.501e-05,0.2445855438709259,727695,25.7330060005188,False
2600,0.11493127048015594,0.12458936125040054,2.601e-05,0.2525855302810669,727695,26.657482862472534,False
2700,0.1126401275396347,0.10514552891254425,2.701e-05,0.3696465492248535,727695,27.582339763641357,False
2800,0.10905728489160538,0.10859865695238113,2.8010000000000005e-05,0.38336461782455444,727695,28.50696897506714,False
2900,0.11019841581583023,0.10430063307285309,2.9010000000000005e-05,0.2978145182132721,727695,29.43061137199402,False
3000,0.11403949558734894,0.10655950754880905,3.001e-05,0.26628559827804565,727695,30.35330605506897,False
3100,0.11138708144426346,0.11246990412473679,3.101e-05,0.27354344725608826,727695,31.27626872062683,False
3200,0.10554645955562592,0.10067389160394669,3.201e-05,0.28394845128059387,727695,32.201122522354126,False
3300,0.10258893668651581,0.09910570085048676,3.3010000000000004e-05,0.5225128531455994,727695,33.12469172477722,False
3400,0.09499942511320114,0.09681346267461777,3.401e-05,0.23305721580982208,727695,34.04704260826111,False
3500,0.09951417148113251,0.1017264649271965,3.5010000000000005e-05,0.2495092749595642,727695,34.96827554702759,False
3600,0.09798107296228409,0.1043703556060791,3.601e-05,0.2575409710407257,727695,35.89186239242554,False
3700,0.10479576885700226,0.10306445509195328,3.701e-05,0.3091002404689789,727695,36.81726622581482,False
3800,0.10354537516832352,0.09491108357906342,3.8010000000000004e-05,0.26303958892822266,727695,37.743295431137085,False
3900,0.09935346990823746,0.09811607748270035,3.901e-05,0.2691042125225067,727695,38.66967487335205,False
4000,0.09966982901096344,0.10051243007183075,4.0010000000000005e-05,0.3975909650325775,727695,39.60167455673218,False
4100,0.10126154869794846,0.10485485196113586,4.101e-05,0.3419733941555023,727695,40.53564429283142,False
4200,0.09843974560499191,0.10233687609434128,4.201e-05,0.3480910360813141,727695,41.46221876144409,False
4300,0.1047259122133255,0.0951000303030014,4.301e-05,0.3920693099498749,727695,42.392478942871094,False
4400,0.10558910667896271,0.09410112351179123,4.401e-05,0.32011309266090393,727695,43.32035207748413,False
4500,0.08993067592382431,0.09826942533254623,4.5010000000000004e-05,0.4340277314186096,727695,44.25001072883606,False
4600,0.08872207254171371,0.09247635304927826,4.601e-05,0.3300456404685974,727695,45.17318248748779,False
4700,0.09385194629430771,0.09308759868144989,4.7010000000000006e-05,0.294005423784256,727695,46.09853744506836,False
4800,0.08636793494224548,0.09836971759796143,4.801e-05,0.24634796380996704,727695,47.02936601638794,False
4900,0.09486494213342667,0.08686983585357666,4.901e-05,0.579670250415802,727695,47.96216654777527,False
5000,0.08825351297855377,0.08782240003347397,5.0010000000000004e-05,0.3887381851673126,727695,104.66277599334717,False
5100,0.09184020757675171,0.09159211069345474,5.101e-05,0.2461492121219635,727695,105.58673739433289,False
5200,0.09252303093671799,0.09578358381986618,5.2010000000000005e-05,0.35101038217544556,727695,106.51254272460938,False
5300,0.08861937373876572,0.09699449688196182,5.301e-05,0.3283929228782654,727695,107.44318056106567,False
5400,0.08707782626152039,0.09074096381664276,5.4010000000000006e-05,0.21499712765216827,727695,108.37346696853638,False
5500,0.0867309719324112,0.0783955529332161,5.5010000000000004e-05,0.2834586799144745,727695,109.30697226524353,False
5600,0.09785071760416031,0.10266055911779404,5.601000000000001e-05,0.31970667839050293,727695,110.24651527404785,False
5700,0.08990605920553207,0.09070759266614914,5.7010000000000005e-05,0.27175745368003845,727695,111.18607664108276,False
5800,0.08950211852788925,0.08403359353542328,5.8009999999999995e-05,0.4441640079021454,727695,112.12607073783875,False
5900,0.08904018253087997,0.08598414063453674,5.901e-05,0.4035869240760803,727695,113.06022357940674,False
6000,0.08537784218788147,0.0949682891368866,6.0009999999999996e-05,0.3130356967449188,727695,113.99361062049866,False
